episode,reward,success_rate
1,-11.923269301652908,0
2,-8.838648498058319,0
3,-6.1319709196686745,0
4,-6.039124518632889,0
5,-8.799591228365898,0
6,-0.041908059269189835,1
7,-8.97805044054985,0
8,-12.865107506513596,0
9,-23.848800733685493,0
10,-12.33919769525528,0
11,-11.714677929878235,0
12,-4.276215225458145,0
13,-0.0489826574921608,1
14,-0.035970188677310944,1
15,-9.803979143500328,0
16,-11.000385373830795,0
17,-6.315635994076729,0
18,-2.5292980410158634,0
19,-10.925126478075981,0
20,-12.280419573187828,0
21,-0.04282313212752342,1
22,-6.935305446386337,0
23,-0.012151316739618778,1
24,-10.255029678344727,0
25,-4.550120495259762,0
26,-10.780100017786026,0
27,-6.004861161112785,0
28,-4.286276571452618,0
29,-14.992461770772934,0
30,-15.183368921279907,0
31,-8.28976821899414,0
32,-15.134749785065651,0
33,-9.47769083082676,0
34,-7.322215184569359,0
35,-10.696208268404007,0
36,-10.074710041284561,0
37,-3.36183512955904,0
38,-4.8408487513661385,0
39,-14.419618159532547,0
40,-11.208652794361115,0
41,-12.153861179947853,0
42,-2.862789321690798,0
43,-18.99554631114006,0
44,-6.365588426589966,0
45,-8.864651158452034,0
46,-9.321760445833206,0
47,-22.069735437631607,0
48,-11.464181318879128,0
49,-12.023039668798447,0
50,-9.057278245687485,0
51,-7.831932857632637,0
52,-7.053625643253326,0
53,-10.422168374061584,0
54,-9.107549652457237,0
55,-10.363584265112877,0
56,-8.26682248711586,0
57,-14.780559927225113,0
58,-4.886620670557022,0
59,-6.846036955714226,0
60,-12.303580358624458,0
61,-27.208368822932243,0
62,-0.045741524547338486,1
63,-7.704978942871094,0
64,-6.454900547862053,0
65,-15.055503353476524,0
66,-0.023673055693507195,1
67,-7.907084032893181,0
68,-4.689166963100433,0
69,-12.315999627113342,0
70,-8.827429130673409,0
71,-8.075348883867264,0
72,-5.790657363831997,0
73,-0.04424057528376579,1
74,-13.438256621360779,0
75,-15.401015490293503,0
76,-12.491322442889214,0
77,-6.885234624147415,0
78,-11.102745905518532,0
79,-0.01500747911632061,1
80,-5.41331397742033,0
81,-8.364289224147797,0
82,-8.188340574502945,0
83,-3.8018832728266716,0
84,-4.942036911845207,0
85,-4.809824556112289,0
86,-12.128005608916283,0
87,-5.040394306182861,0
88,-11.44396921992302,0
89,-4.41342730820179,0
90,-13.470789164304733,0
91,-14.44947774708271,0
92,-4.543667107820511,0
93,-13.534753203392029,0
94,-0.033299099653959274,1
95,-12.34024977684021,0
96,-13.10914933681488,0
97,-10.982912257313728,0
98,-12.782484859228134,0
99,-8.276689052581787,0
100,-6.903079450130463,0
101,-8.0255126953125,0
102,-5.987707734107971,0
103,-9.563322633504868,0
104,-0.044515419751405716,1
105,-9.211324200034142,0
106,-9.184619918465614,0
107,-12.218989700078964,0
108,-4.154195889830589,0
109,-7.107617512345314,0
110,-15.409546136856079,0
111,-14.566708236932755,0
112,-14.10719320178032,0
113,-0.03165126591920853,1
114,-7.669616103172302,0
115,-6.128100387752056,0
116,-11.380700141191483,0
117,-12.323614627122879,0
118,-13.11850357055664,0
119,-14.640861749649048,0
120,-2.620681017637253,0
121,-7.827671647071838,0
122,-6.78633688390255,0
123,-6.8030722588300705,0
124,-3.714038997888565,0
125,-10.817353889346123,0
126,-5.675305068492889,0
127,-7.375050365924835,0
128,-11.555351629853249,0
129,-13.916109770536423,0
130,-12.432538762688637,0
131,-14.981550216674805,0
132,-5.012609392404556,0
133,-6.100833900272846,0
134,-4.671683304011822,0
135,-7.37528994679451,0
136,-5.201051503419876,0
137,-0.040135521441698074,1
138,-6.041462235152721,0
139,-14.704957842826843,0
140,-2.6657889746129513,0
141,-7.399589762091637,0
142,-0.02022857964038849,1
143,-6.7782245725393295,0
144,-7.708580508828163,0
145,-3.1841384768486023,0
146,-0.026272352784872055,1
147,-3.349095828831196,0
148,-2.9835133403539658,0
149,-7.600850999355316,0
150,-6.476969316601753,0
151,-4.83191841840744,0
152,-6.978313639760017,0
153,-3.3608412966132164,0
154,-0.011060343123972416,1
155,-7.213866323232651,0
156,-6.587872952222824,0
157,-10.651117652654648,0
158,-6.391814604401588,0
159,-6.774003714323044,0
160,-6.082596525549889,0
161,-0.015603884123265743,1
162,-12.51559403538704,0
163,-10.579925537109375,0
164,-4.13246638327837,0
165,-9.875020906329155,0
166,-7.097875937819481,0
167,-10.439068257808685,0
168,-12.97512885928154,0
169,-4.499367520213127,0
170,-0.0191482026129961,1
171,-5.455081470310688,0
172,-5.689458347856998,0
173,-11.659417524933815,0
174,-9.033668085932732,0
175,-10.373433396220207,0
176,-4.772678032517433,0
177,-14.154276371002197,0
178,-5.16564179956913,0
179,-15.025197349488735,0
180,-6.335245788097382,0
181,-9.304248064756393,0
182,-3.1836676374077797,0
183,-10.993039295077324,0
184,-0.03233674541115761,1
185,-8.321834802627563,0
186,-4.527088358998299,0
187,-14.119053333997726,0
188,-3.4577022567391396,0
189,-14.806462556123734,0
190,-8.426652073860168,0
191,-5.564222514629364,0
192,-6.878866195678711,0
193,-7.58178174495697,0
194,-8.485221549868584,0
195,-11.64718571305275,0
196,-7.3760490119457245,0
197,-8.282695442438126,0
198,-3.5788600221276283,0
199,-7.476099222898483,0
200,-9.059089705348015,0
201,-12.564805120229721,0
202,-6.740456253290176,0
203,-2.8164869248867035,0
204,-4.723396822810173,0
205,-7.323830038309097,0
206,-0.042286377400159836,1
207,-4.589145019650459,0
208,-11.792007878422737,0
209,-5.755060657858849,0
210,-28.309035807847977,0
211,-5.31368050724268,0
212,-16.26287904381752,0
213,-9.445216611027718,0
214,-5.734654538333416,0
215,-6.584528848528862,0
216,-9.860506877303123,0
217,-7.022355303168297,0
218,-14.743713438510895,0
219,-5.274612382054329,0
220,-5.871605567634106,0
221,-0.02920648641884327,1
222,-12.746969759464264,0
223,-6.708239197731018,0
224,-10.24680332839489,0
225,-10.607126668095589,0
226,-4.8877434730529785,0
227,-5.6768385618925095,0
228,-3.977649822831154,0
229,-8.50994324684143,0
230,-7.178315430879593,0
231,-8.497644275426865,0
232,-5.998409375548363,0
233,-11.485401168465614,0
234,-7.404749482870102,0
235,-5.182331003248692,0
236,-10.436492785811424,0
237,-3.4573624432086945,0
238,-0.03432685509324074,1
239,-0.04898766055703163,1
