episode,reward,success_rate
1,-8.735322467982769,0
2,-11.108220592141151,0
3,-29.645374804735184,0
4,-16.669154420495033,0
5,-6.794715773314238,0
6,-6.586988035589457,0
7,-8.98306080698967,0
8,-10.857396557927132,0
9,-14.371097281575203,0
10,-0.2985440865159035,1
11,-14.18910537660122,0
12,-15.35839281976223,0
13,-4.801661282777786,1
14,-14.226645320653915,0
15,-16.35134467482567,0
16,-0.5549785010516644,1
17,-0.9548568874597549,1
18,-0.7325363680720329,1
19,-9.800760760903358,0
20,-13.047937169671059,0
21,-1.2544731386005878,1
22,-13.47667944431305,0
23,-10.024202041327953,0
24,-16.37902382016182,0
25,-12.513076238334179,0
26,-7.611838407814503,0
27,-12.457005202770233,0
28,-0.8033799715340137,1
29,-17.81585544347763,0
30,-2.4542521238327026,1
31,-14.074715867638588,0
32,-3.4821044020354748,1
33,-14.93234808743,0
34,-19.930586621165276,0
35,-13.932119682431221,0
36,-7.693021662533283,0
37,-12.855948820710182,0
38,-0.04445580020546913,1
39,-21.063731655478477,0
40,-0.3232623264193535,1
41,-14.653480932116508,0
42,-15.550369262695312,0
43,-10.741922423243523,0
44,-14.792348891496658,0
45,-20.158399760723114,0
46,-11.557474046945572,0
47,-0.6929367147386074,1
48,-7.23331094533205,0
49,-11.59625355899334,0
50,-0.9204770289361477,1
51,-18.719185300171375,0
52,-13.624998524785042,0
53,-9.993972234427929,0
54,-19.20986197888851,0
55,-16.76208959519863,0
56,-5.941477060317993,1
57,-3.9899065233767033,1
58,-2.0111338049173355,1
59,-9.602073982357979,0
60,-12.080959841609001,0
61,-14.324307009577751,0
62,-18.487290367484093,0
63,-15.788113594055176,0
64,-16.595656394958496,0
65,-11.780009157955647,0
66,-16.576602682471275,0
67,-11.37601464241743,0
68,-0.8651718199253082,1
69,-12.655158624053001,0
70,-7.922554135322571,0
71,-5.04952535033226,1
72,-7.542405590415001,0
73,-11.215934157371521,0
74,-15.908465594053268,0
75,-9.7739814594388,0
76,-11.129439800977707,0
77,-13.485699519515038,0
78,-11.69453901797533,0
79,-8.458338908851147,0
80,-11.809155255556107,0
81,-16.468450605869293,0
82,-7.892832845449448,0
83,-10.792191967368126,0
84,-13.085676327347755,0
85,-10.847243383526802,0
86,-11.868841916322708,0
87,-9.696955278515816,0
88,-0.2157273180782795,1
89,-19.27624298632145,0
90,-7.957889571785927,0
91,-0.10086165741086006,1
92,-11.818277977406979,0
93,-12.999087899923325,0
94,-13.80271364748478,0
95,-10.83534386754036,0
96,-13.788771852850914,0
97,-13.620668843388557,0
98,-0.36218445003032684,1
99,-15.615018919110298,0
100,-18.43052038550377,0
101,-15.105300337076187,0
102,-3.1456085443496704,1
103,-15.359989821910858,0
104,-18.975245282053947,0
105,-16.42886719107628,0
106,-14.704690471291542,0
107,-16.734330467879772,0
108,-12.029020100831985,0
109,-8.28992123901844,0
110,-14.018335111439228,0
111,-8.578214436769485,0
112,-11.621262431144714,0
113,-0.1322249323129654,1
114,-8.140469271689653,0
115,-12.686998061835766,0
116,-3.8433148842304945,1
117,-20.452274844050407,0
118,-20.218932524323463,0
119,-0.04257369413971901,1
120,-11.663402989506721,0
121,-12.944449976086617,0
122,-15.871965698897839,0
123,-17.836291313171387,0
124,-1.0355543680489063,1
125,-6.0750729367136955,0
126,-10.441929586231709,0
127,-15.98233412206173,0
128,-1.4314751774072647,1
129,-10.313078731298447,0
130,-2.068831145763397,1
131,-15.958139687776566,0
132,-1.4447428807616234,1
133,-15.104513764381409,0
134,-12.506814621388912,0
135,-19.04734018445015,0
136,-0.6061011739075184,1
137,-19.43972386419773,0
138,-15.350609950721264,0
139,-15.747947879135609,0
140,-13.63276170194149,0
141,-12.213397324085236,0
142,-7.034879833459854,0
143,-9.385434091091156,0
144,-0.041318632662296295,1
145,-17.293833568692207,0
146,-20.587102845311165,0
147,-22.51352246105671,0
148,-13.800691425800323,0
149,-21.81648723781109,0
150,-14.234685838222504,0
151,-1.3976646438241005,1
152,-9.489220347255468,0
153,-15.860794469714165,0
154,-12.247917145490646,0
155,-15.746391117572784,0
156,-14.340807020664215,0
157,-15.267585933208466,0
158,-2.965610582381487,1
159,-7.461507294327021,0
160,-9.515902563929558,0
161,-17.5245244204998,0
162,-20.85567870736122,0
163,-13.617693431675434,0
164,-16.474270962178707,0
165,-9.256231501698494,0
166,-20.855528950691223,0
167,-11.296812996268272,0
168,-11.495988979935646,0
169,-15.554607272148132,0
170,-6.207014657557011,0
171,-13.546039089560509,0
172,-9.880884319543839,0
173,-6.408049676567316,0
174,-22.127040296792984,0
175,-10.124285750091076,0
176,-15.936461098492146,0
177,-1.8160944022238255,1
178,-15.69687682390213,0
179,-12.33773110806942,0
180,-13.575157254934311,0
181,-13.132962808012962,0
182,-14.821708790957928,0
183,-9.080870553851128,0
184,-14.474618181586266,0
185,-0.1756789144128561,1
186,-17.073920778930187,0
187,-10.87305859848857,0
188,-16.020737066864967,0
189,-1.9416264928877354,1
190,-17.660712257027626,0
191,-11.081830367445946,0
192,-11.081686049699783,0
193,-18.210779041051865,0
194,-9.518252186477184,0
195,-13.666925355792046,0
196,-17.45233614742756,0
197,-0.569573562592268,1
198,-12.160708352923393,0
199,-14.986932009458542,0
200,-10.322607144713402,0
201,-11.8489650785923,0
202,-12.047820441424847,0
203,-18.07180431485176,0
204,-27.39030595123768,0
205,-19.290226101875305,0
206,-18.328033849596977,0
207,-0.6934749931097031,1
208,-20.236855253577232,0
209,-12.13089007139206,0
210,-14.53940637409687,0
211,-16.35924507677555,0
212,-18.314249336719513,0
213,-5.339606922119856,1
214,-8.434050224721432,0
215,-1.7974813506007195,1
216,-8.03046714514494,0
217,-14.780403226613998,0
218,-9.934058800339699,0
219,-10.185995809733868,0
220,-12.110202118754387,0
221,-16.359440058469772,0
222,-10.394631877541542,0
223,-9.417660400271416,0
224,-15.0286695510149,0
225,-9.04043024033308,0
226,-10.06433892250061,0
227,-6.43320244550705,1
228,-10.032518215477467,0
229,-11.421536445617676,0
230,-12.630160376429558,0
231,-1.7774823419749737,1
232,-13.813948020339012,0
233,-11.05971211194992,0
234,-11.178909838199615,0
235,-0.23924173042178154,1
236,-16.560371294617653,0
237,-15.268412619829178,0
238,-0.2019334938377142,1
239,-12.578933238983154,0
240,-10.136835977435112,0
241,-3.033067896962166,1
242,-8.259017035365105,0
243,-0.49969930201768875,1
244,-12.042869545519352,0
245,-9.316577635705471,0
246,-14.220169484615326,0
247,-27.34425689280033,0
248,-10.058859668672085,0
249,-8.480799227952957,1
250,-17.246623292565346,0
251,-17.79619012027979,0
252,-18.9825459420681,0
253,-2.0888118520379066,1
254,-13.808536157011986,0
255,-17.381365835666656,0
256,-2.2363905906677246,1
257,-8.48175336420536,0
258,-14.186807945370674,0
259,-0.19899044558405876,1
260,-4.996682357043028,0
261,-8.43581634759903,1
262,-7.902147427201271,0
263,-10.787964195013046,0
264,-20.0288540199399,0
265,-17.338612586259842,0
266,-13.6163956746459,0
267,-16.141631558537483,0
268,-18.406528055667877,0
269,-9.333309549838305,0
270,-14.31828585267067,0
271,-12.592436835169792,0
272,-14.041727989912033,0
273,-19.73848456889391,0
274,-0.03193033114075661,1
275,-14.451734617352486,0
276,-0.047458283603191376,1
277,-8.67857301980257,0
278,-10.92497131228447,0
279,-17.21758073568344,0
280,-21.714518055319786,0
281,-17.128281578421593,0
282,-13.692819207906723,0
283,-0.11095238476991653,1
284,-17.520024493336678,0
285,-12.110526472330093,0
286,-9.14246441423893,0
287,-10.48618944734335,0
288,-11.50361217558384,0
289,-13.284894168376923,0
290,-11.131449051201344,0
291,-9.728025496006012,0
292,-7.699789177626371,0
293,-9.03399458527565,0
294,-16.40333367139101,0
295,-18.47110904753208,0
296,-1.220908284187317,1
297,-9.521991247311234,1
298,-13.363139756023884,0
299,-15.072995141148567,0
300,-7.892616368830204,0
301,-1.3474034992977977,1
302,-2.4125728830695152,1
303,-1.4466905891895294,1
304,-8.235076751559973,0
305,-7.132767587900162,0
306,-0.646920595318079,1
307,-13.495129056274891,0
308,-10.89166110754013,0
309,-14.979158699512482,0
310,-7.0108844339847565,0
311,-14.54821403324604,0
312,-17.867466986179352,0
313,-0.4082363694906235,1
314,-14.282969653606415,0
315,-14.689474955201149,0
316,-2.2420457415282726,1
317,-0.17060448601841927,1
318,-0.2947841789573431,1
319,-14.031397759914398,0
320,-13.647340208292007,0
321,-7.7880305498838425,0
322,-9.523557931184769,0
323,-14.227660283446312,0
324,-8.061054330319166,1
325,-12.037480190396309,0
326,-8.04705560207367,0
327,-21.371295273303986,0
328,-17.491118356585503,0
329,-10.277810238301754,0
330,-15.451248481869698,0
331,-14.7468231767416,0
332,-17.460107013583183,0
333,-12.420641258358955,0
334,-12.77332317829132,0
335,-10.989612132310867,0
336,-22.955433882772923,0
337,-13.697540923953056,0
338,-13.273904219269753,0
339,-13.98952891677618,0
340,-10.735002838075161,0
341,-2.781712770462036,1
342,-11.617029368877411,0
343,-13.26864442229271,0
344,-11.649195194244385,0
345,-7.17976239323616,0
346,-10.740018494427204,0
347,-13.189833387732506,0
348,-6.2268401719629765,1
349,-17.295295670628548,0
350,-0.48839822225272655,1
351,-16.565318048000336,0
352,-11.97620016336441,0
353,-9.025900676846504,0
354,-16.114504396915436,0
355,-13.205015033483505,0
356,-9.31249325722456,0
357,-15.660005882382393,0
358,-14.886943846940994,0
359,-10.838879726827145,0
360,-8.571259528398514,0
361,-10.814333602786064,0
362,-16.354150235652924,0
363,-16.398006603121758,0
364,-11.467965990304947,0
365,-8.53743813931942,0
366,-14.474679931998253,0
367,-9.678521104156971,0
368,-9.650674238801003,0
369,-17.488294824957848,0
370,-10.23951006680727,0
371,-13.538094535470009,0
372,-12.13952599465847,0
373,-0.2796998806297779,1
374,-0.03503252565860748,1
375,-12.410297609865665,0
376,-1.9615551233291626,1
377,-10.699074849486351,0
378,-0.04238606616854668,1
379,-15.857450261712074,0
380,-13.861397735774517,0
