episode,reward,success_rate,noise
1,-50.0,False,0.1
2,-50.0,False,0.09999000000000001
3,-50.0,False,0.09998000100000001
4,-50.0,False,0.09997000299990001
5,-50.0,False,0.09996000599960002
6,-50.0,False,0.09995000999900006
7,-50.0,False,0.09994001499800016
8,-50.0,False,0.09993002099650036
9,-4.0,True,0.09992002799440071
10,-50.0,False,0.09991003599160127
11,-9.0,True,0.0999000449880021
12,-50.0,False,0.0998900549835033
13,-50.0,False,0.09988006597800494
14,0.0,True,0.09987007797140715
15,-50.0,False,0.09986009096361001
16,-50.0,False,0.09985010495451364
17,-30.0,True,0.09984011994401819
18,-50.0,False,0.09983013593202379
19,-4.0,True,0.09982015291843059
20,-2.0,True,0.09981017090313875
21,-7.0,True,0.09980018988604844
22,-50.0,False,0.09979020986705983
23,-50.0,False,0.09978023084607313
24,-17.0,True,0.09977025282298851
25,0.0,True,0.09976027579770622
26,-50.0,False,0.09975029977012645
27,-46.0,True,0.09974032474014943
28,-7.0,True,0.09973035070767541
29,-50.0,False,0.09972037767260465
30,-50.0,False,0.09971040563483739
31,-50.0,False,0.09970043459427391
32,-50.0,False,0.09969046455081448
33,-1.0,True,0.09968049550435941
34,-50.0,False,0.09967052745480898
35,-1.0,True,0.0996605604020635
36,-50.0,False,0.0996505943460233
37,-50.0,False,0.0996406292865887
38,-2.0,True,0.09963066522366004
39,-50.0,False,0.09962070215713768
40,-4.0,True,0.09961074008692197
41,-2.0,True,0.09960077901291328
42,-9.0,True,0.099590818935012
43,-29.0,True,0.0995808598531185
44,-9.0,True,0.0995709017671332
45,-50.0,False,0.09956094467695648
46,-32.0,True,0.09955098858248879
47,-2.0,True,0.09954103348363054
48,-6.0,True,0.09953107938028218
49,-50.0,False,0.09952112627234415
50,-2.0,True,0.09951117415971691
51,-3.0,True,0.09950122304230094
52,-4.0,True,0.09949127291999671
53,-26.0,True,0.0994813237927047
54,0.0,True,0.09947137566032543
55,-50.0,False,0.0994614285227594
56,-1.0,True,0.09945148237990713
57,-2.0,True,0.09944153723166914
58,-1.0,True,0.09943159307794597
59,-4.0,True,0.09942164991863818
60,-1.0,True,0.09941170775364631
61,-3.0,True,0.09940176658287095
62,-4.0,True,0.09939182640621266
63,-2.0,True,0.09938188722357204
64,-3.0,True,0.09937194903484968
65,0.0,True,0.0993620118399462
66,-15.0,True,0.09935207563876221
67,-3.0,True,0.09934214043119834
68,-50.0,False,0.09933220621715522
69,-1.0,True,0.0993222729965335
70,-50.0,False,0.09931234076923384
71,-50.0,False,0.09930240953515691
72,-37.0,True,0.0992924792942034
73,-7.0,True,0.09928255004627398
74,-15.0,True,0.09927262179126936
75,0.0,True,0.09926269452909023
76,-4.0,True,0.09925276825963732
77,-9.0,True,0.09924284298281136
78,-3.0,True,0.09923291869851308
79,-4.0,True,0.09922299540664323
80,-9.0,True,0.09921307310710256
81,-3.0,True,0.09920315179979185
82,-6.0,True,0.09919323148461187
83,-3.0,True,0.09918331216146341
84,-9.0,True,0.09917339383024726
85,-2.0,True,0.09916347649086424
86,-1.0,True,0.09915356014321515
87,-2.0,True,0.09914364478720084
88,-1.0,True,0.09913373042272211
89,-19.0,True,0.09912381704967983
90,-7.0,True,0.09911390466797487
91,0.0,True,0.09910399327750807
92,-8.0,True,0.09909408287818032
93,-4.0,True,0.0990841734698925
94,-6.0,True,0.0990742650525455
95,-4.0,True,0.09906435762604025
96,-3.0,True,0.09905445119027766
97,-1.0,True,0.09904454574515863
98,-2.0,True,0.09903464129058412
99,-3.0,True,0.09902473782645506
100,-2.0,True,0.09901483535267241
101,-3.0,True,0.09900493386913715
102,-1.0,True,0.09899503337575025
103,-4.0,True,0.09898513387241267
104,-4.0,True,0.09897523535902543
105,-2.0,True,0.09896533783548953
106,-2.0,True,0.09895544130170597
107,-7.0,True,0.0989455457575758
108,-9.0,True,0.09893565120300005
109,-2.0,True,0.09892575763787975
110,-7.0,True,0.09891586506211597
111,-2.0,True,0.09890597347560975
112,-2.0,True,0.0988960828782622
113,-2.0,True,0.09888619326997437
114,-1.0,True,0.09887630465064738
115,-3.0,True,0.09886641702018231
116,-2.0,True,0.0988565303784803
117,-3.0,True,0.09884664472544245
118,-5.0,True,0.0988367600609699
119,-3.0,True,0.0988268763849638
120,-3.0,True,0.09881699369732531
121,-3.0,True,0.09880711199795558
122,0.0,True,0.09879723128675579
123,-2.0,True,0.09878735156362711
124,-3.0,True,0.09877747282847076
125,-2.0,True,0.0987675950811879
126,-4.0,True,0.09875771832167979
127,-4.0,True,0.09874784254984763
128,-4.0,True,0.09873796776559264
129,-4.0,True,0.09872809396881609
130,-2.0,True,0.09871822115941921
131,-3.0,True,0.09870834933730327
132,-2.0,True,0.09869847850236954
133,0.0,True,0.09868860865451931
134,-2.0,True,0.09867873979365387
135,-5.0,True,0.09866887191967451
136,-2.0,True,0.09865900503248254
137,-5.0,True,0.09864913913197929
138,-2.0,True,0.09863927421806609
139,-3.0,True,0.09862941029064429
140,-1.0,True,0.09861954734961523
141,-2.0,True,0.09860968539488027
142,-2.0,True,0.09859982442634078
143,-1.0,True,0.09858996444389816
144,-3.0,True,0.09858010544745377
145,-4.0,True,0.09857024743690902
146,-4.0,True,0.09856039041216533
147,-2.0,True,0.09855053437312411
148,-3.0,True,0.0985406793196868
149,-50.0,False,0.09853082525175483
150,-2.0,True,0.09852097216922966
151,-1.0,True,0.09851112007201274
152,-4.0,True,0.09850126896000554
153,-8.0,True,0.09849141883310954
154,-3.0,True,0.09848156969122623
155,-2.0,True,0.09847172153425711
156,-1.0,True,0.09846187436210369
157,-4.0,True,0.09845202817466747
158,-2.0,True,0.09844218297185
159,-2.0,True,0.09843233875355283
160,-5.0,True,0.09842249551967747
161,-2.0,True,0.0984126532701255
162,-6.0,True,0.09840281200479849
163,-4.0,True,0.09839297172359801
164,-3.0,True,0.09838313242642566
165,-2.0,True,0.09837329411318302
166,-3.0,True,0.0983634567837717
167,-3.0,True,0.09835362043809333
168,-2.0,True,0.09834378507604952
169,-2.0,True,0.09833395069754192
170,-3.0,True,0.09832411730247216
171,-2.0,True,0.09831428489074191
172,-4.0,True,0.09830445346225283
173,-2.0,True,0.09829462301690661
174,-1.0,True,0.09828479355460493
175,0.0,True,0.09827496507524947
176,-4.0,True,0.09826513757874195
177,-6.0,True,0.09825531106498407
178,-5.0,True,0.09824548553387757
179,-3.0,True,0.09823566098532419
180,-2.0,True,0.09822583741922565
181,-3.0,True,0.09821601483548373
182,-1.0,True,0.09820619323400018
183,-3.0,True,0.09819637261467677
184,-2.0,True,0.09818655297741531
185,-2.0,True,0.09817673432211757
186,-3.0,True,0.09816691664868536
187,-2.0,True,0.09815709995702049
188,-3.0,True,0.09814728424702479
189,-2.0,True,0.09813746951860008
190,-2.0,True,0.09812765577164823
191,-3.0,True,0.09811784300607106
192,-5.0,True,0.09810803122177045
193,-3.0,True,0.09809822041864827
194,-4.0,True,0.0980884105966064
195,-2.0,True,0.09807860175554674
