episode,reward,success_rate
1,-31.581513613462448,0
2,-28.167969189584255,0
3,-35.234033048152924,0
4,-24.48846584558487,0
5,-20.46338753029704,0
6,-24.75839065015316,0
7,-27.632734432816505,0
8,-31.40000857412815,0
9,-13.748174980282784,0
10,-18.029443956911564,0
11,-31.2199654430151,0
12,-25.311630107462406,0
13,-24.480024948716164,0
14,-16.154700726270676,0
15,-32.083997547626495,0
16,-24.119978949427605,0
17,-18.700216099619865,0
18,-22.437517195940018,0
19,-18.739406242966652,0
20,-32.151308350265026,0
21,-20.130229152739048,0
22,-31.788469210267067,0
23,-15.026297926902771,0
24,-23.037551060318947,0
25,-20.273108959197998,0
26,-16.84288028627634,0
27,-25.25355626642704,0
28,-23.398736834526062,0
29,-29.964953735470772,0
30,-32.02863987535238,0
31,-29.42258443683386,0
32,-23.613185696303844,0
33,-30.01805593818426,0
34,-22.292659915983677,0
35,-29.988623522222042,0
36,-22.847028702497482,0
37,-21.46366699039936,0
38,-0.04847992956638336,1
39,-22.320146210491657,0
40,-27.731231570243835,0
41,-21.195633430033922,0
42,-19.695635467767715,0
43,-27.073704689741135,0
44,-19.488194927573204,0
45,-20.437340401113033,0
46,-0.07394766714423895,1
47,-30.54776768386364,0
48,-14.468544863164425,0
49,-26.708211705088615,0
50,-23.696821615099907,0
51,-23.515369966626167,0
52,-19.471537820994854,0
53,-26.351646959781647,0
54,-31.188493967056274,0
55,-23.320356734097004,0
56,-24.781237319111824,0
57,-20.634041592478752,0
58,-22.21452020481229,0
59,-23.075463145971298,0
60,-14.195452939718962,0
61,-23.511002495884895,0
62,-24.386866934597492,0
63,-20.385841965675354,0
64,-16.63325311988592,0
65,-14.965391732752323,0
66,-20.70781597495079,0
67,-26.686108499765396,0
68,-25.430508971214294,0
69,-32.23485767841339,0
70,-24.270609810948372,0
71,-20.855715319514275,0
72,-18.46445669978857,0
73,-15.516408488154411,0
74,-22.466929987072945,0
75,-18.536371290683746,0
76,-21.44116035103798,0
77,-0.033855877816677094,1
78,-14.269064515829086,0
79,-21.53675878047943,0
80,-20.16458235681057,0
81,-21.264631032943726,0
82,-16.86227984726429,0
83,-19.501518100500107,0
84,-18.315100744366646,0
85,-12.08681496232748,0
86,-19.75822864472866,0
87,-26.93126603960991,0
88,-17.578807964920998,0
89,-17.47840106487274,0
90,-9.612890042364597,0
91,-17.897283785045147,0
92,-1.3374511934816837,1
93,-16.07577033340931,0
94,-20.122559383511543,0
95,-21.0533429980278,0
96,-23.041442319750786,0
97,-19.38982205092907,0
98,-22.793039187788963,0
99,-22.132571399211884,0
100,-18.578145772218704,0
101,-10.301434695720673,0
102,-12.007765777409077,0
103,-17.285379506647587,0
104,-20.496717303991318,0
105,-12.28046777099371,0
106,-17.980423912405968,0
107,-17.749029494822025,0
108,-11.270534992218018,0
109,-12.344718992710114,0
110,-19.292502723634243,0
111,-0.09217740967869759,1
112,-10.194055862724781,0
113,-15.673672579228878,0
114,-17.82291528582573,0
115,-12.58301791548729,0
116,-21.45301365852356,0
117,-9.795121863484383,0
118,-21.664572566747665,0
119,-14.02019952237606,0
120,-13.010428085923195,0
121,-16.771414563059807,0
122,-10.022110663354397,0
123,-1.546110037714243,1
124,-12.894638754427433,0
125,-14.389255315065384,0
126,-16.650831013917923,0
127,-7.406056255102158,0
128,-13.409432373940945,0
129,-0.08742509037256241,1
130,-14.231777124106884,0
131,-7.900046057999134,0
132,-0.3719838783144951,1
133,-9.418835662305355,0
134,-0.04706135392189026,1
135,-18.06287930905819,0
136,-8.878689244389534,0
137,-5.318024519830942,0
138,-11.528521738946438,0
139,-13.73789282888174,0
140,-6.463332198560238,0
141,-18.37799470126629,0
142,-15.71449413895607,0
143,-11.181887742131948,0
144,-9.784950643777847,0
145,-9.396154955029488,0
146,-9.548939563333988,0
147,-9.387154795229435,0
148,-12.715669080615044,0
149,-7.435872830450535,0
150,-14.306707829236984,0
151,-9.878713309764862,0
152,-9.352804854512215,0
153,-15.21722986549139,0
154,-7.900716856122017,0
155,-6.3071684539318085,1
156,-14.045863538980484,0
157,-9.56439882516861,0
158,-2.5652678348124027,1
159,-15.745910100638866,0
160,-1.2318287938833237,1
161,-14.05856417119503,0
162,-15.915068536996841,0
163,-10.762844435870647,0
164,-11.891032338142395,0
165,-10.667899183928967,0
166,-9.3434481844306,0
167,-17.13603937625885,0
168,-0.3777348957955837,1
169,-9.904162220656872,0
170,-13.94491857290268,0
171,-9.993348881602287,0
172,-2.776231000199914,1
173,-17.01118329912424,0
174,-12.412776239216328,0
175,-10.505325339734554,0
176,-13.668785206973553,0
177,-15.188981249928474,0
178,-11.257321178913116,0
179,-11.033652544021606,0
180,-17.718721605837345,0
181,-12.495636612176895,0
182,-11.937586955726147,0
183,-7.449785947799683,0
184,-13.949005201458931,0
185,-8.781532660126686,0
186,-9.558476865291595,0
187,-10.805841505527496,0
188,-0.768328357487917,1
189,-15.62708467245102,0
190,-11.508406169712543,0
191,-11.99834729731083,0
192,-16.20442246645689,0
193,-7.061063341796398,0
194,-10.610998518764973,0
195,-12.950747825205326,0
196,-8.05390452593565,0
197,-8.708556912839413,0
198,-10.944214224815369,0
199,-5.294489830732346,1
200,-17.711756817996502,0
201,-19.86247770488262,0
202,-9.341928467154503,0
203,-11.509081296622753,0
204,-9.124097406864166,0
205,-13.449195966124535,0
206,-13.081830378621817,0
207,-11.412445567548275,0
208,-11.231743559241295,0
209,-10.258305177092552,0
210,-10.355907030403614,0
211,-11.458737693727016,0
212,-13.317509889602661,0
213,-10.541047308593988,0
214,-19.04908299446106,0
215,-29.996739760041237,0
216,-10.58036407828331,0
217,-7.728362813591957,0
218,-0.6846422627568245,1
219,-8.066030248999596,0
220,-14.202114835381508,0
221,-13.579145781695843,0
222,-13.60362272709608,0
223,-10.380618497729301,0
224,-10.874712631106377,0
225,-12.216887593269348,0
226,-7.663258828222752,0
227,-15.243722528219223,0
228,-7.921950116753578,1
229,-2.5084716230630875,1
230,-11.90684600546956,0
231,-10.43724013119936,0
232,-15.623799696564674,0
233,-14.331789717078209,0
234,-13.016961053013802,0
235,-6.704987864941359,0
236,-21.165521547198296,0
237,-8.602374508976936,0
238,-8.813301146030426,0
239,-8.214124284684658,0
240,-0.021078312769532204,1
241,-13.701303541660309,0
242,-9.531678676605225,0
243,-8.89447009935975,0
244,-8.072748232632875,0
245,-11.266578689217567,0
246,-11.512167297303677,0
247,-11.773148775100708,0
248,-4.25581169500947,1
249,-14.291881665587425,0
250,-15.435343563556671,0
251,-9.998135350644588,0
252,-6.744436979293823,0
253,-13.697083592414856,0
254,-5.879544071853161,1
255,-12.28332369029522,0
256,-10.772812902927399,0
257,-12.150525450706482,0
258,-13.881173580884933,0
259,-8.418801099061966,0
260,-1.3578030541539192,1
261,-0.9410374164581299,1
262,-12.060569673776627,0
263,-14.44257839769125,0
264,-12.780699655413628,0
265,-1.0656423717737198,1
266,-13.317394450306892,0
267,-14.552222222089767,0
268,-10.428192406892776,0
269,-13.539851680397987,0
270,-8.56685322150588,0
271,-6.87928331643343,1
272,-11.778919748961926,0
273,-15.107285216450691,0
274,-1.465537928044796,1
275,-2.3580120727419853,1
276,-14.661454141139984,0
277,-13.201736830174923,0
278,-10.669995486736298,0
279,-9.28044006228447,0
280,-6.6404957845807076,0
281,-10.798499800264835,0
282,-12.843480542302132,0
283,-1.6038723550736904,1
284,-8.887417621910572,0
285,-10.24421551823616,0
286,-6.954629365354776,0
287,-9.758225455880165,0
288,-13.51507106423378,0
289,-13.47512150555849,0
290,-10.789449952542782,0
291,-10.537210814654827,0
292,-4.480365104973316,1
293,-12.859533652663231,0
294,-5.607817012816668,1
295,-2.4327290169894695,1
296,-12.543532479554415,0
297,-8.800791896879673,0
298,-9.582872211933136,0
299,-12.36390370130539,0
300,-0.28782826103270054,1
301,-10.14345981925726,0
