episode,reward,success_rate,noise
1,-50.0,0,0.09999000000000001
2,-50.0,0,0.09998000100000001
3,-50.0,0,0.09997000299990001
4,-50.0,0,0.09996000599960002
5,-50.0,0,0.09995000999900006
6,-50.0,0,0.09994001499800016
7,-50.0,0,0.09993002099650036
8,-50.0,0,0.09992002799440071
9,-50.0,0,0.09991003599160127
10,-50.0,0,0.0999000449880021
11,-50.0,0,0.0998900549835033
12,0.0,1,0.09988006597800494
13,-50.0,0,0.09987007797140715
14,-50.0,0,0.09986009096361001
15,-50.0,0,0.09985010495451364
16,-50.0,0,0.09984011994401819
17,-50.0,0,0.09983013593202379
18,-50.0,0,0.09982015291843059
19,-50.0,0,0.09981017090313875
20,-50.0,0,0.09980018988604844
21,-50.0,0,0.09979020986705983
22,-50.0,0,0.09978023084607313
23,-50.0,0,0.09977025282298851
24,-50.0,0,0.09976027579770622
25,-50.0,0,0.09975029977012645
26,-50.0,0,0.09974032474014943
27,-50.0,0,0.09973035070767541
28,-50.0,0,0.09972037767260465
29,-50.0,0,0.09971040563483739
30,-50.0,0,0.09970043459427391
31,-50.0,0,0.09969046455081448
32,-50.0,0,0.09968049550435941
33,-50.0,0,0.09967052745480898
34,-50.0,0,0.0996605604020635
35,-50.0,0,0.0996505943460233
36,-50.0,0,0.0996406292865887
37,-50.0,0,0.09963066522366004
38,-11.0,1,0.09962070215713768
39,-50.0,0,0.09961074008692197
40,-7.0,1,0.09960077901291328
41,-7.0,1,0.099590818935012
42,-50.0,0,0.0995808598531185
43,-50.0,0,0.0995709017671332
44,-50.0,0,0.09956094467695648
45,-50.0,0,0.09955098858248879
46,-50.0,0,0.09954103348363054
47,-50.0,0,0.09953107938028218
48,-50.0,0,0.09952112627234415
49,-50.0,0,0.09951117415971691
50,-50.0,0,0.09950122304230094
51,-50.0,0,0.09949127291999671
52,-50.0,0,0.0994813237927047
53,-50.0,0,0.09947137566032543
54,-50.0,0,0.0994614285227594
55,-50.0,0,0.09945148237990713
56,-50.0,0,0.09944153723166914
57,-50.0,0,0.09943159307794597
58,-26.0,1,0.09942164991863818
59,-50.0,0,0.09941170775364631
60,-50.0,0,0.09940176658287095
